parallel algorithm, hillis-steele,512,1000000,2.443063
sequential reference,1,100000000,0.994538
parallel algorithm, MPI Exscan,8,100000000,0.489696
parallel algorithm, hillis-steele,8,100000000,0.488688
parallel algorithm, MPI Exscan,16,100000000,0.408776
parallel algorithm, hillis-steele,16,100000000,0.419108
parallel algorithm, MPI Exscan,32,100000000,0.433226
parallel algorithm, hillis-steele,32,100000000,0.444335
parallel algorithm, MPI Exscan,64,100000000,0.581310
parallel algorithm, hillis-steele,64,100000000,0.572486
parallel algorithm, MPI Exscan,128,100000000,0.883705
parallel algorithm, hillis-steele,128,100000000,0.891586
parallel algorithm, MPI Exscan,256,100000000,1.480583
parallel algorithm, hillis-steele,256,100000000,1.498222
parallel algorithm, MPI Exscan,511,100000000,1.966729
parallel algorithm, hillis-steele,511,100000000,2.325874
parallel algorithm, MPI Exscan,512,100000000,2.257347
parallel algorithm, hillis-steele,512,100000000,2.311491
sequential reference,1,111111111,1.089338
parallel algorithm, MPI Exscan,8,111111111,0.539846
parallel algorithm, hillis-steele,8,111111111,0.537223
parallel algorithm, MPI Exscan,16,111111111,0.455991
parallel algorithm, hillis-steele,16,111111111,0.461036
parallel algorithm, MPI Exscan,32,111111111,0.465793
parallel algorithm, hillis-steele,32,111111111,0.480487
parallel algorithm, MPI Exscan,64,111111111,0.593444
parallel algorithm, hillis-steele,64,111111111,0.607795
parallel algorithm, MPI Exscan,128,111111111,0.886557
parallel algorithm, hillis-steele,128,111111111,0.912072
parallel algorithm, MPI Exscan,256,111111111,1.534706
parallel algorithm, hillis-steele,256,111111111,1.529873
parallel algorithm, MPI Exscan,511,111111111,2.356305
parallel algorithm, hillis-steele,511,111111111,2.487204
parallel algorithm, MPI Exscan,512,111111111,2.353997
parallel algorithm, hillis-steele,512,111111111,2.472929
sequential reference,1,1000000000,10.092013
parallel algorithm, MPI Exscan,8,1000000000,5.041641
parallel algorithm, hillis-steele,8,1000000000,5.027737
parallel algorithm, MPI Exscan,16,1000000000,3.750699
parallel algorithm, hillis-steele,16,1000000000,3.807026
parallel algorithm, MPI Exscan,32,1000000000,3.732655
parallel algorithm, hillis-steele,32,1000000000,3.748522
parallel algorithm, MPI Exscan,64,1000000000,3.427550
parallel algorithm, hillis-steele,64,1000000000,3.442532
parallel algorithm, MPI Exscan,128,1000000000,3.518247
parallel algorithm, hillis-steele,128,1000000000,3.625422
parallel algorithm, MPI Exscan,256,1000000000,7.664710
parallel algorithm, hillis-steele,256,1000000000,6.981260
parallel algorithm, MPI Exscan,511,1000000000,28.922342
parallel algorithm, hillis-steele,511,1000000000,31.339994
parallel algorithm, MPI Exscan,512,1000000000,31.592798
parallel algorithm, hillis-steele,512,1000000000,25.972558
sequential reference,1,10,0.000002
parallel algorithm, MPI Exscan,8,10,0.050016
parallel algorithm, hillis-steele,8,10,0.041312
parallel algorithm, MPI Exscan,16,10,0.071069
parallel algorithm, hillis-steele,16,10,0.044034
parallel algorithm, MPI Exscan,32,10,0.143886
parallel algorithm, hillis-steele,32,10,0.054375
parallel algorithm, MPI Exscan,64,10,0.276620
parallel algorithm, hillis-steele,64,10,0.071187
parallel algorithm, MPI Exscan,128,10,0.265694
parallel algorithm, hillis-steele,128,10,0.089921
parallel algorithm, MPI Exscan,256,10,0.206693
parallel algorithm, hillis-steele,256,10,0.134942
parallel algorithm, MPI Exscan,511,10,0.176118
parallel algorithm, hillis-steele,511,10,0.161498
parallel algorithm, MPI Exscan,512,10,0.347379
parallel algorithm, hillis-steele,512,10,0.245517
sequential reference,1,100,0.000004
parallel algorithm, MPI Exscan,8,100,0.042531
parallel algorithm, hillis-steele,8,100,0.038136
parallel algorithm, MPI Exscan,16,100,0.083091
parallel algorithm, hillis-steele,16,100,0.075466
parallel algorithm, MPI Exscan,32,100,0.155708
parallel algorithm, hillis-steele,32,100,0.142820
parallel algorithm, MPI Exscan,64,100,0.311657
parallel algorithm, hillis-steele,64,100,0.284025
parallel algorithm, MPI Exscan,128,100,0.255087
parallel algorithm, hillis-steele,128,100,0.085974
parallel algorithm, MPI Exscan,256,100,0.201904
parallel algorithm, hillis-steele,256,100,0.131356
parallel algorithm, MPI Exscan,511,100,0.157271
parallel algorithm, hillis-steele,511,100,0.164582
parallel algorithm, MPI Exscan,512,100,0.329757
parallel algorithm, hillis-steele,512,100,0.212868
sequential reference,1,1000000,0.011176
parallel algorithm, MPI Exscan,8,1000000,0.045940
parallel algorithm, hillis-steele,8,1000000,0.042898
parallel algorithm, MPI Exscan,16,1000000,0.080713
parallel algorithm, hillis-steele,16,1000000,0.077141
parallel algorithm, MPI Exscan,32,1000000,0.163928
parallel algorithm, hillis-steele,32,1000000,0.150732
parallel algorithm, MPI Exscan,64,1000000,0.303634
parallel algorithm, hillis-steele,64,1000000,0.291374
parallel algorithm, MPI Exscan,128,1000000,0.573584
parallel algorithm, hillis-steele,128,1000000,0.601683
parallel algorithm, MPI Exscan,256,1000000,1.169915
parallel algorithm, hillis-steele,256,1000000,1.211195
parallel algorithm, MPI Exscan,511,1000000,2.193683
parallel algorithm, hillis-steele,511,1000000,2.475115
parallel algorithm, MPI Exscan,512,1000000,2.405644
parallel algorithm, hillis-steele,512,1000000,2.417292
sequential reference,1,100000000,0.979184
parallel algorithm, MPI Exscan,8,100000000,0.473016
parallel algorithm, hillis-steele,8,100000000,0.484984
parallel algorithm, MPI Exscan,16,100000000,0.417736
parallel algorithm, hillis-steele,16,100000000,0.416891
parallel algorithm, MPI Exscan,32,100000000,0.432218
parallel algorithm, hillis-steele,32,100000000,0.443590
parallel algorithm, MPI Exscan,64,100000000,0.583785
parallel algorithm, hillis-steele,64,100000000,0.604671
parallel algorithm, MPI Exscan,128,100000000,0.880944
parallel algorithm, hillis-steele,128,100000000,0.887552
parallel algorithm, MPI Exscan,256,100000000,1.471905
parallel algorithm, hillis-steele,256,100000000,1.508018
parallel algorithm, MPI Exscan,511,100000000,2.307039
parallel algorithm, hillis-steele,511,100000000,2.678092
parallel algorithm, MPI Exscan,512,100000000,2.649895
parallel algorithm, hillis-steele,512,100000000,2.335620
sequential reference,1,111111111,1.097174
parallel algorithm, MPI Exscan,8,111111111,0.541282
parallel algorithm, hillis-steele,8,111111111,0.543606
parallel algorithm, MPI Exscan,16,111111111,0.455279
parallel algorithm, hillis-steele,16,111111111,0.462591
parallel algorithm, MPI Exscan,32,111111111,0.464659
parallel algorithm, hillis-steele,32,111111111,0.479240
parallel algorithm, MPI Exscan,64,111111111,0.610271
parallel algorithm, hillis-steele,64,111111111,0.600042
parallel algorithm, MPI Exscan,128,111111111,0.897033
parallel algorithm, hillis-steele,128,111111111,0.923292
parallel algorithm, MPI Exscan,256,111111111,1.496124
parallel algorithm, hillis-steele,256,111111111,1.553279
parallel algorithm, MPI Exscan,511,111111111,2.660433
parallel algorithm, hillis-steele,511,111111111,2.376286
parallel algorithm, MPI Exscan,512,111111111,2.678040
parallel algorithm, hillis-steele,512,111111111,2.674109
sequential reference,1,1000000000,10.256850
parallel algorithm, MPI Exscan,8,1000000000,5.057837
parallel algorithm, hillis-steele,8,1000000000,5.051372
parallel algorithm, MPI Exscan,16,1000000000,4.022944
parallel algorithm, hillis-steele,16,1000000000,4.061025
parallel algorithm, MPI Exscan,32,1000000000,3.320935
parallel algorithm, hillis-steele,32,1000000000,3.417508
parallel algorithm, MPI Exscan,64,1000000000,3.155182
parallel algorithm, hillis-steele,64,1000000000,3.361637
parallel algorithm, MPI Exscan,128,1000000000,3.411448
parallel algorithm, hillis-steele,128,1000000000,3.340682
parallel algorithm, MPI Exscan,256,1000000000,7.003538
parallel algorithm, hillis-steele,256,1000000000,7.249421
parallel algorithm, MPI Exscan,511,1000000000,32.295092
parallel algorithm, hillis-steele,511,1000000000,28.084082
parallel algorithm, MPI Exscan,512,1000000000,22.545804
parallel algorithm, hillis-steele,512,1000000000,30.664503
sequential reference,1,10,0.000002
parallel algorithm, MPI Exscan,8,10,0.043138
parallel algorithm, hillis-steele,8,10,0.038855
parallel algorithm, MPI Exscan,16,10,0.068704
parallel algorithm, hillis-steele,16,10,0.044586
parallel algorithm, MPI Exscan,32,10,0.145224
parallel algorithm, hillis-steele,32,10,0.049419
parallel algorithm, MPI Exscan,64,10,0.265800
parallel algorithm, hillis-steele,64,10,0.067505
parallel algorithm, MPI Exscan,128,10,0.238334
parallel algorithm, hillis-steele,128,10,0.101918
parallel algorithm, MPI Exscan,256,10,0.215803
parallel algorithm, hillis-steele,256,10,0.128592
parallel algorithm, MPI Exscan,511,10,0.195714
parallel algorithm, hillis-steele,511,10,0.181188
parallel algorithm, MPI Exscan,512,10,0.336413
parallel algorithm, hillis-steele,512,10,0.219251
sequential reference,1,100,0.000004
parallel algorithm, MPI Exscan,8,100,0.039700
parallel algorithm, hillis-steele,8,100,0.041343
parallel algorithm, MPI Exscan,16,100,0.083246
parallel algorithm, hillis-steele,16,100,0.076867
parallel algorithm, MPI Exscan,32,100,0.159428
parallel algorithm, hillis-steele,32,100,0.142183
parallel algorithm, MPI Exscan,64,100,0.320509
parallel algorithm, hillis-steele,64,100,0.279889
parallel algorithm, MPI Exscan,128,100,0.246841
parallel algorithm, hillis-steele,128,100,0.081075
parallel algorithm, MPI Exscan,256,100,0.200169
parallel algorithm, hillis-steele,256,100,0.139877
parallel algorithm, MPI Exscan,511,100,0.169807
parallel algorithm, hillis-steele,511,100,0.176550
parallel algorithm, MPI Exscan,512,100,0.367486
parallel algorithm, hillis-steele,512,100,0.221332
sequential reference,1,1000000,0.011239
parallel algorithm, MPI Exscan,8,1000000,0.049648
parallel algorithm, hillis-steele,8,1000000,0.041132
parallel algorithm, MPI Exscan,16,1000000,0.085498
parallel algorithm, hillis-steele,16,1000000,0.076602
parallel algorithm, MPI Exscan,32,1000000,0.152830
parallel algorithm, hillis-steele,32,1000000,0.147769
parallel algorithm, MPI Exscan,64,1000000,0.306524
